,index,benchmark,param,time
0,0,pointer_chasing,32,0.634731077
1,1,pointer_chasing,64,0.634731077
2,2,pointer_chasing,128,0.634731077
3,3,pointer_chasing,256,0.63473177
4,4,pointer_chasing,512,0.63473316
5,5,pointer_chasing,1024,0.6347359379999999
6,6,pointer_chasing,2048,0.6347414929999999
7,7,pointer_chasing,4096,0.6347526029999999
8,8,pointer_chasing,8192,0.6347756410000001
9,9,pointer_chasing,16384,0.634821713
10,10,pointer_chasing,32768,0.7066703329999999
11,11,pointer_chasing,65536,0.739003478
12,12,pointer_chasing,131072,0.756051963
13,13,pointer_chasing,262144,1.064588027
14,14,pointer_chasing,524288,1.22013504
15,15,pointer_chasing,1048576,1.29882201
16,16,pointer_chasing,2097152,4.588696797
17,17,pointer_chasing,4194304,6.113602093
18,18,pointer_chasing,8388608,6.856941022999999
19,19,pointer_chasing,16777216,7.2285345770000005
20,20,pointer_chasing,33554432,7.418721275
